documentevaluation_id,is_gold?,gold_url,tag_code,gold_category,gold_text
24518168,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518168,52,Err:504,The multiple misspellings throughout the article made me somewhat skeptical of all of the details. The author should care more about the langauge.
24518169,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518169,53,Err:504,The article is detailed with a lot of information. This has to be complete and credible.
24518170,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518170,53,Err:504,I don’t want reviews from fans that are not accurate. The information they give is not always complete so you cannot trust it.
24518171,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518171,61,Err:504,Google searches do legitimize the site. I verified all the details so I can say it is credible.
24518172,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518172,61,Err:504,I don't know how to evaluate this page as google search returned mixed reviews on the site. Thie information on this page is difficult to verify.
24518173,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518173,62,Err:504,Just a review so it's basically their opinion or point of view. I don't trust such subjective information.
24518174,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518174,62,Err:504,I think this page is good in general but there is also a certain amount of personal opinion which seems to contain a negative bias. The author of such article should be more objective on this matter.
24518175,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518175,63,Err:504,This is a good website. The text is very detailed and cites its sources. The authors put much effort in reffering all that scientific article. 
24518176,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518176,63,Err:504,"I cannot trust this page because all the information is provided by one person only. The author di not list any references, so we don't know the sources."
24518177,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518177,64,Err:504,The website provides a current publishing date. It seems as a very fresh issue and I don't know anything about that
24518178,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518178,64,Err:504,It seems credible but just offers outdated information. The page is 10 years old and I think it is too long for a medical page. Miracles happen in this field over a single decade!
24518179,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518179,65,Err:504,I know this company for quite a long time. I use their service on regular basis and I like it.
24518180,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518180,65,Err:504,I din't rate this page at all because I'm not experienced about this topic and could be wrong.
