commentlabeling_id,labeller_id,rater_id,documentevaluation_id,document_id,start,end,answer,rejected,is_test?,is_gold?,is_finished?,is_ok?
5442,4490,?,24518170,5325978,2014-08-17 18:23:35.797633,2014-08-17 18:29:23.877705,"62,53",0,0,1,1,0
7393,4596,10335,18135653,2201178,2014-08-18 12:41:08.727852,2014-08-18 12:47:35.779984,"61,65",1,0,0,1,0
7394,4596,9961,19882713,2198370,2014-08-18 12:41:08.729613,2014-08-18 12:51:10.087520,61,1,0,0,1,0
7395,4596,10532,23847667,2547391,2014-08-18 12:41:08.730924,2014-08-18 12:54:02.120043,23,1,0,0,1,0
7396,4596,10532,11739892,6429697,2014-08-18 12:41:08.732244,2014-08-18 12:51:40.297007,"51,53,62",1,0,0,1,0
7397,4596,10532,23241471,2207480,2014-08-18 12:41:08.733559,2014-08-18 12:44:38.636010,"21,51",1,0,0,1,0
7398,4596,10532,23241472,2201885,2014-08-18 12:41:08.734847,2014-08-18 12:48:34.513441,"52,62",1,0,0,1,0
7399,4596,10532,21193474,2207655,2014-08-18 12:41:08.736138,2014-08-18 12:50:16.588051,"53,61",1,0,0,1,0
7400,4596,10532,11027207,2207775,2014-08-18 12:41:08.737452,2014-08-18 12:46:11.692611,65,1,0,0,1,0
7401,4596,10086,11657994,2198696,2014-08-18 12:41:08.738751,2014-08-18 12:52:36.970249,"53,62",1,0,0,1,0
7402,4596,?,24518134,5325978,2014-08-18 12:41:08.743318,2014-08-18 12:49:31.686991,65,1,0,1,1,0
17666,4748,10701,14142533,2200476,2014-08-28 14:38:07.292680,2014-08-28 14:38:39.207154,"42,63,53",0,0,0,1,1
17667,4748,9544,11668702,2207609,2014-08-28 14:40:10.092708,2014-08-28 14:40:47.772529,"32,62",0,0,0,1,1
17668,4748,9879,16854992,2196272,2014-08-28 14:36:34.431086,2014-08-28 14:37:32.681695,"32,63",0,0,0,1,1
17669,4748,10744,11800758,2199208,2014-08-28 14:39:47.830325,2014-08-28 14:40:09.820569,53,0,0,0,1,1
17670,4748,10744,23458073,2199208,2014-08-28 14:34:08.187848,2014-08-28 14:35:48.225907,"31,42,45",0,0,0,1,1
17671,4748,10016,23720297,2547247,2014-08-28 14:40:47.998497,2014-08-28 14:41:33.037780,"32,35",0,0,0,1,1
17672,4748,4886,4387373,2196272,2014-08-28 14:38:39.567342,2014-08-28 14:39:09.479590,"21,32",0,0,0,1,1
17673,4748,10370,4233945,2197162,2014-08-28 14:35:48.436303,2014-08-28 14:36:34.221506,"32,53",0,0,0,1,1
17674,4748,10334,4234202,2197162,2014-08-28 14:39:09.772111,2014-08-28 14:39:47.486705,53,0,0,0,1,1
17675,4748,?,24518134,5325978,2014-08-28 14:37:32.892935,2014-08-28 14:38:07.001782,"11,53",0,0,1,1,0
2423,4867,10362,24143191,2547263,2014-08-07 10:58:25.388089,2014-08-07 11:05:05.739274,"44,53",1,0,0,1,0
2424,4867,10369,20349989,2207533,2014-08-07 10:58:25.390125,2014-08-07 11:00:38.191512,"63,34",1,0,0,1,0
2425,4867,10368,20346031,2207866,2014-08-07 10:58:25.391421,2014-08-07 11:06:58.407006,"53,11",1,0,0,1,0
2426,4867,10368,6774831,2547468,2014-08-07 10:58:25.392710,2014-08-07 11:04:23.127061,"53,11,62",1,0,0,1,0
2427,4867,10332,15269937,6429756,2014-08-07 10:58:25.394033,2014-08-07 11:02:10.899442,"53,62,22",1,0,0,1,0
2428,4867,10369,22593589,855321,2014-08-07 10:58:25.395330,2014-08-07 11:03:15.872486,"61,62,63",1,0,0,1,0
2429,4867,10369,23248951,6673295,2014-08-07 10:58:25.396638,2014-08-07 11:06:07.318322,"11,61",1,0,0,1,0
2430,4867,10369,10436664,2570908,2014-08-07 10:58:25.397954,2014-08-07 10:59:23.405049,"53,62,33",1,0,0,1,0
2431,4867,10369,22543028,6429969,2014-08-07 10:58:25.399463,2014-08-07 11:01:12.745266,00,1,0,0,1,0
2432,4867,?,24518140,5325978,2014-08-07 10:58:25.403663,2014-08-07 11:05:38.259714,"53,62",1,0,1,1,0
23260,4867,4867,10475226,2547114,2014-09-05 17:24:07.801660,2014-09-05 17:32:36.564820,"51,53",0,0,0,1,1
4273,4898,10370,16399905,1445,2014-08-13 16:08:34.479863,2014-08-13 16:09:54.781691,53,1,0,0,1,0
4274,4898,10370,24357588,2207551,2014-08-13 16:08:34.482255,2014-08-13 16:10:08.878447,62,1,0,0,1,0
4275,4898,10370,7589932,2201792,2014-08-13 16:08:34.483695,2014-08-13 16:10:02.879512,62,1,0,0,1,0
4276,4898,10370,13934858,2569668,2014-08-13 16:08:34.485053,2014-08-13 16:11:53.463974,65,1,0,0,1,0
4277,4898,10370,22102287,2546744,2014-08-13 16:08:34.486387,2014-08-13 16:10:14.741561,62,1,0,0,1,0
4278,4898,10370,9232658,2213045,2014-08-13 16:08:34.487703,2014-08-13 16:11:10.231033,11,1,0,0,1,0
4279,4898,10370,10007854,2547226,2014-08-13 16:08:34.489042,2014-08-13 16:11:33.540378,"62,53",1,0,0,1,0
4280,4898,10370,22970644,2213317,2014-08-13 16:08:34.490379,2014-08-13 16:12:00.016274,33,1,0,0,1,0
4281,4898,10370,7343860,2550100,2014-08-13 16:08:34.491626,2014-08-13 16:09:30.797463,62,1,0,0,1,0
4282,4898,?,24518136,5325978,2014-08-13 16:08:34.496556,2014-08-13 16:11:43.185286,62,1,0,1,1,0
25820,5058,5058,4107897,2198177,2014-09-05 20:57:28.891836,2014-09-05 20:57:52.720139,"42,53",0,0,0,1,1
25821,5058,5058,8746638,2201839,2014-09-05 20:56:04.642556,2014-09-05 20:56:37.877524,"63,41,53",0,0,0,1,1
25822,5058,5058,7487125,2213139,2014-09-05 20:56:38.094900,2014-09-05 20:56:57.458947,53,0,0,0,1,1
25823,5058,5058,9383575,2569374,2014-09-05 20:54:49.227209,2014-09-05 20:55:34.759034,65,0,0,0,1,1
25824,5058,8792,4222616,2196255,2014-09-05 20:55:55.416421,2014-09-05 20:56:04.427363,63,0,0,0,1,1
25825,5058,5058,10944157,2201909,2014-09-05 20:56:57.684427,2014-09-05 20:57:28.667666,32,0,0,0,1,1
25826,5058,5058,4472479,1374,2014-09-05 20:55:34.967961,2014-09-05 20:55:55.192109,62,0,0,0,1,1
25827,5058,5058,10456740,2547240,2014-09-05 20:58:13.644963,2014-09-05 20:58:26.469454,"63,32",0,0,0,1,1
25828,5058,8315,10550949,2547152,2014-09-05 20:54:04.045464,2014-09-05 20:54:49.013801,62,0,0,0,1,1
25829,5058,?,24518135,5325978,2014-09-05 20:57:52.944855,2014-09-05 20:58:13.428800,"11,32",0,0,1,1,0
2603,5124,10362,16341679,2201323,2014-08-07 12:54:05.937812,2014-08-07 13:01:16.129890,"34,53",0,0,0,1,1
2604,5124,10369,22322068,6673221,2014-08-07 12:54:05.939847,2014-08-07 13:00:57.919468,"32,34,61",0,0,0,1,1
2605,5124,10369,3828783,2199035,2014-08-07 12:54:05.941290,2014-08-07 12:59:08.839185,"45,53",0,0,0,1,1
2606,5124,10341,4063304,2201648,2014-08-07 12:54:05.942758,2014-08-07 12:59:44.890791,34,0,0,0,1,1
2607,5124,10369,10096502,2201688,2014-08-07 12:54:05.944137,2014-08-07 12:57:46.931131,"34,61,22",0,0,0,1,1
2608,5124,10369,22134870,6703781,2014-08-07 12:54:05.945596,2014-08-07 12:57:18.859748,"34,22",0,0,0,1,1
2609,5124,5124,24515786,2546664,2014-08-07 12:54:05.947006,2014-08-07 12:56:39.105666,"53,21,22",0,0,0,1,1
2610,5124,10369,11871498,2196426,2014-08-07 12:54:05.948672,2014-08-07 13:00:38.748473,"44,22",0,0,0,1,1
2611,5124,10343,4194396,2196483,2014-08-07 12:54:05.950033,2014-08-07 13:01:42.039118,"34,44,64,21",0,0,0,1,1
2612,5124,?,24518145,5325978,2014-08-07 12:54:05.954433,2014-08-07 12:56:06.223728,32,0,0,1,1,0
7223,5124,5124,13672377,6429907,2014-08-18 12:35:31.151032,2014-08-18 12:39:50.159331,"31,34,42,63",0,0,0,1,1
7224,5124,10335,22602454,2201469,2014-08-18 12:35:31.152893,2014-08-18 12:41:54.142274,"31,61,63",0,0,0,1,1
7225,5124,10383,11311908,2196362,2014-08-18 12:35:31.154284,2014-08-18 12:42:26.747940,"31,34,61",0,0,0,1,1
7226,5124,10532,23798498,6900296,2014-08-18 12:35:31.155638,2014-08-18 12:41:39.089511,"31,52",0,0,0,1,1
7227,5124,9896,4266241,2197898,2014-08-18 12:35:31.156981,2014-08-18 12:42:07.295415,"31,32",0,0,0,1,1
7228,5124,5124,23387852,2213446,2014-08-18 12:35:31.158284,2014-08-18 12:40:48.291599,"53,63",0,0,0,1,1
7229,5124,10532,19071717,2201492,2014-08-18 12:35:31.159591,2014-08-18 12:41:22.902830,"32,11",0,0,0,1,1
7230,5124,10532,10429158,2213143,2014-08-18 12:35:31.160854,2014-08-18 12:37:41.498982,"32,34",0,0,0,1,1
7231,5124,10532,4334319,2196542,2014-08-18 12:35:31.162135,2014-08-18 12:39:01.395989,"34,61,62",0,0,0,1,1
7232,5124,?,24518143,5325978,2014-08-18 12:35:31.166654,2014-08-18 12:42:35.353377,"31,34",0,0,1,1,0
7473,5124,10369,23249032,2197434,2014-08-18 12:42:45.459477,2014-08-18 12:45:08.623169,"31,64",0,0,0,1,1
7474,5124,5124,13971479,6488037,2014-08-18 12:42:45.461280,2014-08-18 12:45:21.720456,"31,64,23",0,0,0,1,1
7475,5124,10357,16416910,2215239,2014-08-18 12:42:45.462584,2014-08-18 12:43:38.808060,"31,45,61",0,0,0,1,1
7476,5124,10369,4633972,2468,2014-08-18 12:42:45.463903,2014-08-18 12:44:24.956922,"31,45,64",0,0,0,1,1
7477,5124,10369,15661816,1443,2014-08-18 12:42:45.465245,2014-08-18 12:45:32.924587,"31,34,42",0,0,0,1,1
7478,5124,5124,10481417,2201436,2014-08-18 12:42:45.466534,2014-08-18 12:44:12.771544,"34,21",0,0,0,1,1
7479,5124,10369,13198039,2196252,2014-08-18 12:42:45.467823,2014-08-18 12:44:44.980633,"34,63",0,0,0,1,1
7480,5124,10532,22981414,2546715,2014-08-18 12:42:45.469142,2014-08-18 12:46:07.328182,"31,44,45",0,0,0,1,1
7481,5124,10532,23847667,2547391,2014-08-18 12:42:45.470565,2014-08-18 12:45:45.971869,"42,23",0,0,0,1,1
7482,5124,?,24518177,5325978,2014-08-18 12:42:45.475099,2014-08-18 12:43:51.611146,64,0,0,1,1,0
7563,5124,10370,4240791,2196848,2014-08-18 12:46:27.231478,2014-08-18 12:46:47.720139,"22,23",0,0,0,1,1
7564,5124,5124,23238469,2207726,2014-08-18 12:46:27.233452,2014-08-18 12:49:27.378372,62,0,0,0,1,1
7565,5124,10532,5161727,2199215,2014-08-18 12:46:27.234788,2014-08-18 12:49:14.770139,"61,62",0,0,0,1,1
7566,5124,9504,10519296,6979304,2014-08-18 12:46:27.236119,2014-08-18 12:49:02.435117,"44,63",0,0,0,1,1
7567,5124,10532,21193474,2207655,2014-08-18 12:46:27.237386,2014-08-18 12:48:47.330017,"34,53,62",0,0,0,1,1
7568,5124,5124,15797035,2910911,2014-08-18 12:46:27.238747,2014-08-18 12:48:26.213990,"31,32",0,0,0,1,1
7569,5124,5124,10183434,6977957,2014-08-18 12:46:27.240043,2014-08-18 12:48:01.304849,"42,44,64",0,0,0,1,1
7570,5124,5124,19366668,2198835,2014-08-18 12:46:27.241392,2014-08-18 12:48:17.950839,"32,53,62",0,0,0,1,1
7571,5124,5124,7439119,2213312,2014-08-18 12:46:27.242752,2014-08-18 12:47:42.283120,"32,53",0,0,0,1,1
7572,5124,?,24518180,5325978,2014-08-18 12:46:27.247227,2014-08-18 12:47:05.673112,65,0,0,1,1,0
7623,5124,5124,5911443,6429726,2014-08-18 12:49:36.421356,2014-08-18 12:52:03.083439,"31,53",0,0,0,1,1
7624,5124,5124,18131016,2201614,2014-08-18 12:49:36.423089,2014-08-18 12:50:02.734261,"61,23",0,0,0,1,1
7625,5124,10532,6275842,6430050,2014-08-18 12:49:36.424443,2014-08-18 12:51:47.649423,"31,22",0,0,0,1,1
7626,5124,10086,14016137,2547239,2014-08-18 12:49:36.425777,2014-08-18 12:51:09.514838,"34,61",0,0,0,1,1
7627,5124,10086,11657994,2198696,2014-08-18 12:49:36.427057,2014-08-18 12:50:32.032337,"34,53",0,0,0,1,1
7628,5124,10086,8135436,2569882,2014-08-18 12:49:36.428454,2014-08-18 12:51:34.581294,"32,44,45,53",0,0,0,1,1
7629,5124,10532,15542901,2642,2014-08-18 12:49:36.429760,2014-08-18 12:52:38.332661,"34,62",0,0,0,1,1
7630,5124,10532,14500626,2198682,2014-08-18 12:49:36.431042,2014-08-18 12:50:14.165465,"31,32",0,0,0,1,1
7631,5124,10532,21586713,2546715,2014-08-18 12:49:36.432492,2014-08-18 12:52:14.052124,"31,32,33",0,0,0,1,1
7632,5124,?,24518170,5325978,2014-08-18 12:49:36.436946,2014-08-18 12:50:49.878150,"31,53",0,0,1,1,0
7853,5124,10352,23188841,2201621,2014-08-18 12:52:47.225833,2014-08-18 12:53:16.539342,61,0,0,0,1,1
7854,5124,9896,4113545,1371,2014-08-18 12:52:47.227517,2014-08-18 12:53:58.957676,"31,32",0,0,0,1,1
7855,5124,10532,13337369,2199440,2014-08-18 12:52:47.229234,2014-08-18 12:54:53.419902,"31,32,33",0,0,0,1,1
7856,5124,10532,20357917,2546690,2014-08-18 12:52:47.231287,2014-08-18 12:53:25.828254,"31,22",0,0,0,1,1
7857,5124,9896,3851045,2213169,2014-08-18 12:52:47.233456,2014-08-18 12:53:49.792737,53,0,0,0,1,1
7858,5124,9869,19864369,2197434,2014-08-18 12:52:47.235633,2014-08-18 12:54:36.039057,44,0,0,0,1,1
7859,5124,9879,17774044,2201420,2014-08-18 12:52:47.237773,2014-08-18 12:54:08.228021,"31,33,34",0,0,0,1,1
7860,5124,9896,7832362,2547389,2014-08-18 12:52:47.239929,2014-08-18 12:53:02.301606,"42,45,53",0,0,0,1,1
7861,5124,5124,21259051,2199212,2014-08-18 12:52:47.242076,2014-08-18 12:53:35.323711,"32,61",0,0,0,1,1
7862,5124,?,24518146,5325978,2014-08-18 12:52:47.247431,2014-08-18 12:54:15.285874,33,0,0,1,1,0
7913,5124,5124,24102930,855266,2014-08-18 12:55:02.100640,2014-08-18 12:56:50.326198,"31,53,11",0,0,0,1,1
7914,5124,9012,4646343,2476,2014-08-18 12:55:02.102414,2014-08-18 12:57:29.154552,64,0,0,0,1,1
7915,5124,10532,11027207,2207775,2014-08-18 12:55:02.103654,2014-08-18 12:55:41.397009,"31,61",0,0,0,1,1
7916,5124,10086,22992347,2547215,2014-08-18 12:55:02.104922,2014-08-18 12:57:04.908707,"31,44,45",0,0,0,1,1
7917,5124,9896,19754391,2547448,2014-08-18 12:55:02.106219,2014-08-18 12:57:44.511880,"34,62",0,0,0,1,1
7918,5124,5124,18209585,6703910,2014-08-18 12:55:02.107512,2014-08-18 12:56:03.377350,"44,45",0,0,0,1,1
7919,5124,10532,19448621,2547322,2014-08-18 12:55:02.108802,2014-08-18 12:57:15.364719,53,0,0,0,1,1
7920,5124,10532,21013295,2225284,2014-08-18 12:55:02.110249,2014-08-18 12:56:27.529615,"44,45,53",0,0,0,1,1
7921,5124,5124,4135826,2196416,2014-08-18 12:55:02.111576,2014-08-18 12:55:24.137342,"44,45,63",0,0,0,1,1
7922,5124,?,24518158,5325978,2014-08-18 12:55:02.116421,2014-08-18 12:55:49.326507,44,0,0,1,1,0
7953,5124,9479,22944614,2207379,2014-08-18 12:57:53.088716,2014-08-18 12:58:42.873489,"31,32,43",0,0,0,1,1
7954,5124,10369,4333450,2197374,2014-08-18 12:57:53.090588,2014-08-18 12:58:59.412751,"34,42,53",0,0,0,1,1
7955,5124,5124,22086449,2201301,2014-08-18 12:57:53.091953,2014-08-18 12:58:07.483698,"31,32",0,0,0,1,1
7956,5124,10532,5161779,2198835,2014-08-18 12:57:53.093355,2014-08-18 13:00:11.826636,51,0,0,0,1,1
7957,5124,5124,10724148,2200020,2014-08-18 12:57:53.094745,2014-08-18 13:00:31.396128,"51,53",0,0,0,1,1
7958,5124,5124,24478518,6429697,2014-08-18 12:57:53.096124,2014-08-18 12:59:16.911162,"31,42",0,0,0,1,1
7959,5124,10532,18826040,2569666,2014-08-18 12:57:53.097579,2014-08-18 12:59:29.343623,"41,44",0,0,0,1,1
7960,5124,10532,4039481,2213672,2014-08-18 12:57:53.098931,2014-08-18 12:58:21.092695,"31,32,53",0,0,0,1,1
7961,5124,10532,6275899,6430052,2014-08-18 12:57:53.100262,2014-08-18 12:58:32.290001,32,0,0,0,1,1
7962,5124,?,24518161,5325978,2014-08-18 12:57:53.104858,2014-08-18 12:59:38.649328,"31,32,45",0,0,1,1,0
8063,5124,5124,19056028,2199448,2014-08-18 13:00:40.268059,2014-08-18 13:03:56.649130,"34,53",0,0,0,1,1
8064,5124,5124,9634971,2201885,2014-08-18 13:00:40.269882,2014-08-18 13:03:22.521655,"45,53",0,0,0,1,1
8065,5124,5124,20921961,2207841,2014-08-18 13:00:40.271201,2014-08-18 13:04:37.852260,"45,51,53",0,0,0,1,1
8066,5124,5124,16288565,2207781,2014-08-18 13:00:40.272537,2014-08-18 13:02:47.353204,"62,22,23",0,0,0,1,1
8067,5124,10532,6333251,6429595,2014-08-18 13:00:40.273904,2014-08-18 13:03:14.359902,"31,45,61",0,0,0,1,1
8068,5124,10532,13370180,2197461,2014-08-18 13:00:40.275259,2014-08-18 13:04:19.483113,"53,61,21",0,0,0,1,1
8069,5124,10532,22602565,2547239,2014-08-18 13:00:40.276518,2014-08-18 13:03:42.883251,"53,62",0,0,0,1,1
8070,5124,10532,20357958,2201347,2014-08-18 13:00:40.277802,2014-08-18 13:03:02.824965,"42,53",0,0,0,1,1
8071,5124,10532,7643977,2207774,2014-08-18 13:00:40.279121,2014-08-18 13:02:30.428082,"42,43,44",0,0,0,1,1
8072,5124,?,24518139,5325978,2014-08-18 13:00:40.283520,2014-08-18 13:04:49.957613,"62,22",0,0,1,1,0
8153,5124,10532,24380240,6703910,2014-08-18 13:04:58.811260,2014-08-18 13:07:16.096860,"44,53",0,0,0,1,1
8154,5124,5124,10773331,2207907,2014-08-18 13:04:58.813140,2014-08-18 13:05:46.381265,"45,51",0,0,0,1,1
8155,5124,10532,17572693,7028041,2014-08-18 13:04:58.814452,2014-08-18 13:06:37.334290,"34,41",0,0,0,1,1
8156,5124,5124,13689686,1445,2014-08-18 13:04:58.815815,2014-08-18 13:05:23.667078,"53,62",0,0,0,1,1
8157,5124,10225,23842959,2546743,2014-08-18 13:04:58.817303,2014-08-18 13:06:57.337169,"34,42,61",0,0,0,1,1
8158,5124,5124,11469660,2207655,2014-08-18 13:04:58.818708,2014-08-18 13:05:57.237008,"34,51",0,0,0,1,1
8159,5124,5124,8831837,6703799,2014-08-18 13:04:58.820129,2014-08-18 13:05:38.829514,"42,51,53",0,0,0,1,1
8160,5124,5124,23913957,2334,2014-08-18 13:04:58.821632,2014-08-18 13:07:09.143411,53,0,0,0,1,1
8161,5124,10532,3826528,2198159,2014-08-18 13:04:58.822945,2014-08-18 13:06:21.803208,"42,53",0,0,0,1,1
8162,5124,?,24518134,5325978,2014-08-18 13:04:58.827392,2014-08-18 13:07:27.322208,"51,11",0,0,1,1,0
8193,5124,10532,11469663,2207757,2014-08-18 13:07:36.443008,2014-08-18 13:09:43.041929,"62,23",1,0,0,1,0
8194,5124,10532,14007099,2207754,2014-08-18 13:07:36.445100,2014-08-18 13:09:25.512384,"45,62,64",1,0,0,1,0
8195,5124,10532,4047717,2197554,2014-08-18 13:07:36.446481,2014-08-18 13:08:54.837016,"34,53",1,0,0,1,0
8196,5124,10532,10503014,2213043,2014-08-18 13:07:36.447896,2014-08-18 13:10:05.667639,"32,62",1,0,0,1,0
8197,5124,4054,4105065,2196464,2014-08-18 13:07:36.449324,2014-08-18 13:09:34.660176,"33,34",1,0,0,1,0
8198,5124,4306,4350826,2197208,2014-08-18 13:07:36.450672,2014-08-18 13:08:23.829098,"31,53,21",1,0,0,1,0
8199,5124,10532,16549351,2198483,2014-08-18 13:07:36.452059,2014-08-18 13:09:56.018139,"31,32,61",1,0,0,1,0
8200,5124,10532,22381420,6704202,2014-08-18 13:07:36.453465,2014-08-18 13:08:37.177679,"32,42",1,0,0,1,0
8201,5124,10532,10273646,6703776,2014-08-18 13:07:36.454738,2014-08-18 13:08:01.874919,23,1,0,0,1,0
8202,5124,?,24518166,5325978,2014-08-18 13:07:36.459111,2014-08-18 13:09:04.599838,"31,51",1,0,1,1,0
2253,5150,10370,16347136,2207616,2014-08-04 14:48:00.856546,2014-08-04 15:03:19.824590,"65,44",0,0,0,1,1
2254,5150,10353,20882320,2199441,2014-08-04 14:48:00.858273,2014-08-04 14:55:52.844810,"11,31,32",0,0,0,1,1
2255,5150,10353,21573847,2547028,2014-08-04 14:48:00.859518,2014-08-04 15:05:28.278168,"23,32",0,0,0,1,1
2256,5150,10362,11821078,2197438,2014-08-04 14:48:00.860809,2014-08-04 15:06:33.631807,"65,23,31",0,0,0,1,1
2257,5150,10353,20307993,2546650,2014-08-04 14:48:00.862039,2014-08-04 14:57:19.092281,"62,63,51",0,0,0,1,1
2258,5150,10362,4104219,2196462,2014-08-04 14:48:00.863199,2014-08-04 15:01:29.176054,"62,63,34",0,0,0,1,1
