commentlabeling_id,is_ok?,person_id,documentevaluation_id,document_id,category,credibility,label,labelcat
294,0,9486,10887202,2569673,entertainment,5,12,
293,0,9486,4433441,2197209,medicine,5,52,
293,0,9486,4433441,2197209,medicine,5,63,
293,0,9486,4433441,2197209,medicine,5,45,
292,0,9486,10829852,2213086,entertainment,5,32,
291,0,9486,10591259,2207394,politics,3,53,
291,0,9486,10591259,2207394,politics,3,45,
290,0,9486,10979929,2569358,entertainment,4,33,
290,0,9486,10979929,2569358,entertainment,4,22,
299,0,10044,10611759,2201499,healthy life-style,4,34,
299,0,10044,10611759,2201499,healthy life-style,4,45,
299,0,10044,10611759,2201499,healthy life-style,4,21,
298,0,10044,10679341,2213091,entertainment,4,53,
297,0,10044,4166699,2196470,medicine,5,53,
297,0,10044,4166699,2196470,medicine,5,63,
296,0,10044,16547878,7026729,politics,3,53,
295,0,10044,10460700,2207832,politics,4,63,
304,0,10043,9717641,2547377,politics,4,32,
304,0,10043,9717641,2547377,politics,4,33,
303,0,10043,16883009,2569885,entertainment,3,62,
303,0,10043,16883009,2569885,entertainment,3,11,
302,0,10043,7498885,2207551,politics,4,63,
301,0,10043,3668739,2201894,politics,5,53,
301,0,10043,3668739,2201894,politics,5,32,
301,0,10043,3668739,2201894,politics,5,63,
301,0,10043,3668739,2201894,politics,5,64,
301,0,10043,3668739,2201894,politics,5,43,
300,0,10043,4323714,2196846,medicine,4,53,
300,0,10043,4323714,2196846,medicine,4,32,
300,0,10043,4323714,2196846,medicine,4,63,
300,0,10043,4323714,2196846,medicine,4,21,
309,0,10043,10569722,2213417,entertainment,5,62,
309,0,10043,10569722,2213417,entertainment,5,63,
308,0,10043,10339466,2214054,entertainment,4,13,
307,0,10043,4826945,2196446,medicine,4,65,
306,0,8792,9114091,2207603,politics,5,53,
306,0,8792,9114091,2207603,politics,5,63,
306,0,8792,9114091,2207603,politics,5,44,
306,0,8792,9114091,2207603,politics,5,21,
305,0,10043,5906909,2199432,personal finance,4,63,
305,0,10043,5906909,2199432,personal finance,4,11,
314,0,10043,6341883,6429726,medicine,3,31,
313,0,10043,8508782,2197178,medicine,4,32,
312,0,4503,4226557,2196519,#N/A,1,63,
312,0,4503,4226557,2196519,#N/A,1,44,
312,0,4503,4226557,2196519,#N/A,1,45,
311,0,10043,15979155,2201719,healthy life-style,5,53,
310,0,10043,11067814,2200145,personal finance,5,33,
319,0,10043,4048029,2546633,medicine,2,53,
319,0,10043,4048029,2546633,medicine,2,31,
318,0,4721,7554543,2201799,healthy life-style,3,62,
318,0,4721,7554543,2201799,healthy life-style,3,63,
318,0,4721,7554543,2201799,healthy life-style,3,14,
317,0,10043,10791834,2201619,healthy life-style,4,53,
317,0,10043,10791834,2201619,healthy life-style,4,21,
316,0,10043,10932206,2201616,healthy life-style,4,65,
315,0,10043,4897171,2199205,personal finance,3,32,
324,0,10043,9603364,2201445,healthy life-style,5,52,
324,0,10043,9603364,2201445,healthy life-style,5,63,
324,0,10043,9603364,2201445,healthy life-style,5,65,
324,0,10043,9603364,2201445,healthy life-style,5,45,
323,0,10043,10909692,2207736,politics,5,32,
322,0,10043,10659262,6981356,healthy life-style,2,11,
321,0,10043,10103069,2207828,politics,5,65,
320,0,10043,6266351,2199044,personal finance,4,53,
320,0,10043,6266351,2199044,personal finance,4,63,
320,0,10043,6266351,2199044,personal finance,4,22,
329,0,10043,14171827,2546694,personal finance,4,53,
329,0,10043,14171827,2546694,personal finance,4,43,
329,0,10043,14171827,2546694,personal finance,4,45,
328,0,10043,5809970,2201378,personal finance,4,51,
327,0,10043,7352881,2207545,politics,4,31,
327,0,10043,7352881,2207545,politics,4,63,
327,0,10043,7352881,2207545,politics,4,21,
326,0,10043,10472359,2201675,healthy life-style,5,62,
326,0,10043,10472359,2201675,healthy life-style,5,63,
325,0,10043,10775462,6979304,politics,5,53,
325,0,10043,10775462,6979304,politics,5,42,
334,0,10043,7616176,2207500,politics,4,51,
334,0,10043,7616176,2207500,politics,4,62,
334,0,10043,7616176,2207500,politics,4,13,
333,0,10043,5820840,2546722,personal finance,4,51,
333,0,10043,5820840,2546722,personal finance,4,32,
332,0,10043,10292017,2207549,politics,4,31,
332,0,10043,10292017,2207549,politics,4,63,
331,0,10043,10886438,2215102,entertainment,3,34,
331,0,10043,10886438,2215102,entertainment,3,11,
330,0,10043,10491557,2207773,politics,3,51,
339,0,10043,2149856,2546722,personal finance,4,62,
338,0,10043,10566972,2207736,politics,5,34,
338,0,10043,10566972,2207736,politics,5,62,
337,0,10043,8521271,2547181,healthy life-style,4,52,
337,0,10043,8521271,2547181,healthy life-style,4,53,
337,0,10043,8521271,2547181,healthy life-style,4,34,
337,0,10043,8521271,2547181,healthy life-style,4,63,
336,0,10043,6341941,6429726,medicine,3,45,
335,0,10043,294196,2198688,personal finance,4,43,
335,0,10043,294196,2198688,personal finance,4,45,
344,0,10043,16306881,2213913,entertainment,4,45,
343,0,10043,9026624,2201422,healthy life-style,4,34,
343,0,10043,9026624,2201422,healthy life-style,4,63,
343,0,10043,9026624,2201422,healthy life-style,4,42,
342,0,10043,3736821,2196487,medicine,4,45,
342,0,10043,3736821,2196487,medicine,4,22,
341,0,10043,18614974,2207667,politics,5,53,
341,0,10043,18614974,2207667,politics,5,34,
341,0,10043,18614974,2207667,politics,5,63,
340,0,10043,6266679,2546725,personal finance,1,52,
349,0,10043,5920199,2200396,personal finance,5,53,
348,0,10043,5321542,2199423,personal finance,5,31,
348,0,10043,5321542,2199423,personal finance,5,34,
348,0,10043,5321542,2199423,personal finance,5,65,
347,0,10043,7770564,2547263,healthy life-style,5,34,
347,0,10043,7770564,2547263,healthy life-style,5,63,
346,0,10043,5862500,2198852,personal finance,5,32,
346,0,10043,5862500,2198852,personal finance,5,34,
346,0,10043,5862500,2198852,personal finance,5,43,
345,0,10043,10582839,2547372,politics,5,53,
345,0,10043,10582839,2547372,politics,5,34,
354,0,10043,14171827,2546694,personal finance,4,51,
354,0,10043,14171827,2546694,personal finance,4,53,
354,0,10043,14171827,2546694,personal finance,4,33,
354,0,10043,14171827,2546694,personal finance,4,45,
353,0,10043,5809970,2201378,personal finance,4,51,
352,0,10043,7352881,2207545,politics,4,31,
352,0,10043,7352881,2207545,politics,4,63,
352,0,10043,7352881,2207545,politics,4,22,
351,0,10043,10472359,2201675,healthy life-style,5,34,
351,0,10043,10472359,2201675,healthy life-style,5,63,
351,0,10043,10472359,2201675,healthy life-style,5,14,
350,0,10043,10775462,6979304,politics,5,53,
350,0,10043,10775462,6979304,politics,5,63,
359,0,10043,4437711,2196385,medicine,4,51,
359,0,10043,4437711,2196385,medicine,4,32,
359,0,10043,4437711,2196385,medicine,4,45,
358,0,10043,4781410,2197147,medicine,4,53,
358,0,10043,4781410,2197147,medicine,4,62,
357,0,10043,4825932,2196442,medicine,2,62,
357,0,10043,4825932,2196442,medicine,2,63,
356,0,10043,9668297,2547155,healthy life-style,3,51,
356,0,10043,9668297,2547155,healthy life-style,3,52,
356,0,10043,9668297,2547155,healthy life-style,3,53,
356,0,10043,9668297,2547155,healthy life-style,3,31,
356,0,10043,9668297,2547155,healthy life-style,3,32,
356,0,10043,9668297,2547155,healthy life-style,3,33,
356,0,10043,9668297,2547155,healthy life-style,3,34,
356,0,10043,9668297,2547155,healthy life-style,3,61,
356,0,10043,9668297,2547155,healthy life-style,3,62,
356,0,10043,9668297,2547155,healthy life-style,3,63,
356,0,10043,9668297,2547155,healthy life-style,3,64,
356,0,10043,9668297,2547155,healthy life-style,3,65,
356,0,10043,9668297,2547155,healthy life-style,3,41,
356,0,10043,9668297,2547155,healthy life-style,3,42,
356,0,10043,9668297,2547155,healthy life-style,3,43,
356,0,10043,9668297,2547155,healthy life-style,3,44,
356,0,10043,9668297,2547155,healthy life-style,3,45,
356,0,10043,9668297,2547155,healthy life-style,3,11,
356,0,10043,9668297,2547155,healthy life-style,3,12,
356,0,10043,9668297,2547155,healthy life-style,3,13,
356,0,10043,9668297,2547155,healthy life-style,3,14,
356,0,10043,9668297,2547155,healthy life-style,3,21,
356,0,10043,9668297,2547155,healthy life-style,3,22,
355,0,10043,11059272,2569371,entertainment,4,53,
355,0,10043,11059272,2569371,entertainment,4,45,
364,0,10043,10890070,2200027,personal finance,5,53,
363,0,10043,4473045,2197894,medicine,5,63,
363,0,10043,4473045,2197894,medicine,5,65,
362,0,10043,10169044,2547173,healthy life-style,4,62,
362,0,10043,10169044,2547173,healthy life-style,4,63,
361,0,10043,9935203,2198834,personal finance,4,32,
360,0,10043,18986077,6429726,medicine,3,53,
360,0,10043,18986077,6429726,medicine,3,43,
369,0,10043,2149856,2546722,personal finance,4,62,
368,0,10043,10566972,2207736,politics,5,34,
368,0,10043,10566972,2207736,politics,5,62,
